m/GeV, Lambda/GeV, m/Lambda, Alpha(m), RPocket/Lambda, Yfo, Ysqo, xGBfo, TMReq/GeV, Gamma_GB/GeV, dilution_factor, Omegah2
278.2559402207126,2.6560877829466865,104.76157527896653,0.12279387184576569,6.2549798608192535e10,1.741611304986395e-14,6.735675944485574e-25,19.80453445656383,0.0003129353115470423,3.8442491169785383e-16,0.9999999999966436,7.502755175552079e-14
319.92671377973846,3.0538555088334154,104.76157527896652,0.12279387184576569,5.516713892506839e10,1.998555673686575e-14,8.7112780243469e-25,19.709570477515907,0.0003615331375218643,4.3981344914610985e-16,0.9999999999954909,1.1156488585149182e-13
367.8379771828634,3.511191734215131,104.7615752789665,0.12279387184576573,4.865584358219149e10,2.2931959272429214e-14,1.1265812319823063e-24,19.617777432823754,0.00041762022946905156,5.0318859852056e-16,0.9999999999939447,1.6588771432845513e-13
422.92428743895,4.0370172585965545,104.76157527896652,0.12279387184576569,4.291306674268954e10,2.6320868550503664e-14,1.4568180960948375e-24,19.519630263011162,0.0004825760944137975,5.757028198103284e-16,0.9999999999918607,2.4663976586610186e-13
486.2601580065355,4.641588833612778,104.76157527896652,0.12279387184576569,3.784810131082681e10,3.02108784118338e-14,1.8794240245405826e-24,19.421281304336993,0.0005576549649521804,6.586749896896279e-16,0.9999999999890586,3.6583782524776446e-13
559.0810182512225,5.3366992312063095,104.76157527896652,0.12279387184576569,3.338094621444506e10,3.467200845141118e-14,2.4269531541247688e-24,19.322962453267976,0.0006444300782689806,7.536144486644386e-16,0.9999999999852911,5.43164386178388e-13
642.8073117284323,6.1359072734131725,104.76157527896652,0.12279387184576569,2.9441042788926414e10,3.974096482537751e-14,3.1369621508664007e-24,19.227983742781532,0.0007445979340747185,8.622485252983592e-16,0.9999999999802341,8.072075819850867e-13
739.0722033525781,7.054802310718643,104.76157527896652,0.12279387184576569,2.596616030387758e10,4.5565053712344966e-14,4.055311325280429e-24,19.133480712910863,0.0008603351182500299,9.865540406002055e-16,0.9999999999734391,1.1997926991696068e-12
849.7534359086445,8.11130830789687,104.76157527896652,0.12279387184576569,2.290141302944163e10,5.229508065081618e-14,5.245137258497812e-24,19.035251638942693,0.000994280843287587,1.1287933684888105e-15,0.9999999999642871,1.7842057415621274e-12
977.0099572992257,9.326033468832199,104.76157527896652,0.12279387184576569,2.01983933168108e10,6.001968000757835e-14,6.784087780597243e-24,18.937053791100027,0.0011491093071106712,1.2915557116338747e-15,0.999999999951979,2.653295340127564e-12
